LoanNr_ChkDgt;Name;City;State;Zip;Bank;BankState;NAICS;ApprovalDate;ApprovalFY;Term;NoEmp;NewExist;CreateJob;RetainedJob;FranchiseCode;UrbanRural;RevLineCr;LowDoc;ChgOffDate;DisbursementDate;DisbursementGross;BalanceGross;MIS_Status;ChgOffPrinGr;GrAppv;SBA_Appv;
1000244002;ENVIRONMENTAL ROOFING SYSTEMS,;OKLAHOMA CITY;OK;73112;BANK OF AMERICA NATL ASSOC;NC;421330;28-feb-97;1997;12;5;2;0;0;1;0;N;N;;30-sep-97;$350,000.00 ;$0.00 ;P I F;$0.00 ;$350,000.00 ;$262,500.00 ;
1000254005;ARK MAMAGEMENT ENTERPRISES INC;MIDLAND;TX;79701;WELLS FARGO BANK NATL ASSOC;TX;0;28-feb-97;1997;60;5;1;0;0;1;0;N;Y;;30-jun-97;$70,000.00 ;$0.00 ;P I F;$0.00 ;$70,000.00 ;$56,000.00 ;
1000264008;FAIRFAX COURT SUBWAY, INC.;CENTREVILLE;VA;20120;BANK OF AMERICA NATL ASSOC;MD;0;28-feb-97;1997;60;16;1;0;0;1;0;N;Y;;31-jul-97;$100,000.00 ;$0.00 ;P I F;$0.00 ;$100,000.00 ;$80,000.00 ;
1000284003;FANTASTIC SAMS;PLANO;TX;75093;NEWTEK SMALL BUS. FINANCE INC.;NY;0;28-feb-97;1997;84;12;2;0;0;19755;0;N;Y;;31-May-97;$57,500.00 ;$0.00 ;P I F;$0.00 ;$57,500.00 ;$46,000.00 ;
1000294006;"SIR GOONY""S GOLF";KNOXVILLE;TN;37922;CITIZENS NATIONAL BANK;TN;0;28-feb-97;1997;120;4;2;0;0;1;0;N;Y;;31-May-98;$50,000.00 ;$0.00 ;P I F;$0.00 ;$50,000.00 ;$40,000.00 ;
1000324002;ECONOLODGE OF DUMAS;DUMAS;TX;79029;BUSINESS LOAN CENTER, LLC;SC;0;28-feb-97;1997;300;12;2;0;0;1;0;N;N;;30-apr-97;$615,000.00 ;$0.00 ;P I F;$0.00 ;$615,000.00 ;$461,250.00 ;
1000344008;YOUNG ACHIEVERS PRESCHOOL, INC;CORAL SPRINGS;FL;33065;BANESCO USA;FL;624410;28-feb-97;1997;87;2;1;0;0;1;0;N;N;;31-aug-97;$70,000.00 ;$0.00 ;P I F;$0.00 ;$70,000.00 ;$56,000.00 ;
1000394001;NICOLES RESTAURANT;JOHNSTON;RI;2919;BANK OF AMERICA NATL ASSOC;RI;0;28-feb-97;1997;114;6;1;0;0;1;0;N;N;;31-mar-98;$75,000.00 ;$0.00 ;P I F;$0.00 ;$75,000.00 ;$56,250.00 ;
1000434000;TRIANGLE MACHINE & MFG., INC.;EULESS;TX;76040;FIRST BANK TEXAS, SSB;TX;0;28-feb-97;1997;144;90;1;0;0;1;0;N;N;;30-apr-97;$1,250,000.00 ;$0.00 ;P I F;$0.00 ;$1,250,000.00 ;$937,500.00 ;
1000446006;SUBWAY;LITTLE ROCK;AR;72223;HOPE FCU;MS;722211;07-feb-06;2006;126;7;1;0;0;1;1;N;N;;30-apr-06;$137,300.00 ;$0.00 ;P I F;$0.00 ;$137,300.00 ;$116,705.00 ;
1000474001;"DEE""S CORNER BAIT & TACKLE";SAINT PETER;MN;56082;WELLS FARGO BANK NATL ASSOC;MN;451110;28-feb-97;1997;60;2;1;0;0;1;0;N;N;;30-apr-97;$39,500.00 ;$0.00 ;P I F;$0.00 ;$39,500.00 ;$29,625.00 ;
1000484004;C & S TRANSIT, INC.;INDEPENDENCE;MO;64055;BANK OF AMERICA NATL ASSOC;NC;0;28-feb-97;1997;60;2;2;0;0;1;0;0;N;;31-May-98;$50,000.00 ;$0.00 ;P I F;$0.00 ;$50,000.00 ;$25,000.00 ;
1000504008;HUNTERSBROOK STABLE;MARSHFIELD;MA;2050;ROCKLAND TRUST COMPANY;MA;0;28-feb-97;1997;240;3;1;0;0;1;0;N;Y;;31-jul-97;$75,000.00 ;$0.00 ;P I F;$0.00 ;$75,000.00 ;$60,000.00 ;
1000506000;WEYLAND CORPORATION;CAMARILLO;CA;93010;WELLS FARGO BANK NATL ASSOC;SD;611110;07-feb-06;2006;83;18;2;5;23;1;1;Y;N;;28-feb-06;$438,541.00 ;$0.00 ;P I F;$0.00 ;$100,000.00 ;$50,000.00 ;
1000514000;SCROOGES SPIRIT;" INC.""";ANDERSON;SC;29621;CERTIFIED DEVEL CORP OF SO. CA;SC;445310;28-feb-97;1997;240;1;2;5;0;1;0;N;N;;14-jan-98;$291,000.00 ;$0.00 ;P I F;$0.00 ;$291,000.00 ;$291,000.00 
1000516003;CHICAGO BRICK UNLIMITED INC;MIAMI;FL;33186;CITIBANK, N.A.;FL;238140;07-feb-06;2006;84;4;1;0;4;1;1;Y;N;;28-feb-06;$51,440.00 ;$0.00 ;P I F;$0.00 ;$35,000.00 ;$17,500.00 ;
1000524003;AUDELIA FAMILY DENTAL GROUP;DALLAS;TX;75243;THE FROST NATIONAL BANK;TX;621210;28-feb-97;1997;102;12;1;0;0;1;0;N;N;;31-jul-97;$600,000.00 ;$0.00 ;P I F;$0.00 ;$600,000.00 ;$450,000.00 ;
1000526006;RZI, INC.;NEW ORLEANS;LA;70130;BUSINESS RES. CAP. SPECIALTY B;LA;532490;07-feb-06;2006;60;3;1;0;0;1;1;N;N;;31-May-06;$50,000.00 ;$0.00 ;P I F;$0.00 ;$50,000.00 ;$42,500.00 ;
1000534006;PPP COMMUNICATIONS;WASHINGTON;IA;52353;WASHINGTON STATE BANK;IA;454210;28-feb-97;1997;84;2;2;0;0;1;0;N;N;;31-Oct-97;$30,000.00 ;$0.00 ;P I F;$0.00 ;$30,000.00 ;$22,500.00 ;
1000536009;HUTMACHER HOLDINGS INC;LEANDER;TX;78641;WELLS FARGO BANK NATL ASSOC;SD;541611;07-feb-06;2006;80;2;1;4;6;1;2;Y;N;;31-May-06;$63,076.00 ;$0.00 ;P I F;$0.00 ;$25,000.00 ;$12,500.00 ;
1000544009;PRESTIGE LIMOUSINE SERVICE;ROANOKE;VA;24015;FIRST COMMUNITY BANK;VA;0;28-feb-97;1997;84;2;1;0;0;1;0;N;Y;;14-mar-97;$60,000.00 ;$0.00 ;P I F;$0.00 ;$60,000.00 ;$48,000.00 ;
1000554001;PAUL E. & JUDY A. FAATZ;KINSMAN;OH;44428;CORTLAND SAVINGS & BK. CO.;OH;0;28-feb-97;1997;137;2;1;0;0;1;0;N;Y;18-apr-02;30-jun-97;$47,000.00 ;$0.00 ;CHGOFF;$14,084.00 ;$47,000.00 ;$37,600.00 ;
1000574007;VILLAGE REST HOME;NORTH EASTON;MA;2356;HOME LOAN INVEST BANK F.S.B.;RI;0;28-feb-97;1997;84;9;1;0;0;1;0;N;Y;;31-May-97;$70,000.00 ;$0.00 ;P I F;$0.00 ;$70,000.00 ;$56,000.00 ;
1000576010;CORBIN CREEK GREENHOUSE;SPRINGFIELD;TN;37172;BBCN BANK;CA;453110;07-feb-06;2006;84;4;1;1;4;1;1;0;N;;28-feb-06;$20,000.00 ;$0.00 ;P I F;$0.00 ;$20,000.00 ;$17,000.00 ;
1000584010;JFJ PROCESSORS;LEWISBURG;TN;37091;FIRST FARMERS & MERCHANTS BK;TN;311611;28-feb-97;1997;180;7;1;0;0;1;0;0;N;;30-apr-97;$245,000.00 ;$0.00 ;P I F;$0.00 ;$245,000.00 ;$183,750.00 ;
1000594002;M.A.S. TRUCKING, INC.;SPRINGFIELD;IL;62702;PNC BANK, NATIONAL ASSOCIATION;IL;0;28-feb-97;1997;84;3;1;0;0;1;0;0;N;;31-May-97;$225,000.00 ;$0.00 ;P I F;$0.00 ;$225,000.00 ;$168,750.00 ;
1000624009;OLD LOUISVILLE INN;LOUISVILLE;KY;40208;PNC BANK, NATIONAL ASSOCIATION;KY;0;28-feb-97;1997;126;5;1;0;0;1;0;0;N;;31-May-97;$40,000.00 ;$0.00 ;P I F;$0.00 ;$40,000.00 ;$30,000.00 ;
1000634001;IRON HORSE FABRICATIONS;LELAND;MS;38756;STATE BANK & TRUST COMPANY;MS;332996;28-feb-97;1997;120;2;2;0;0;1;0;N;Y;;30-jun-97;$100,000.00 ;$0.00 ;P I F;$0.00 ;$100,000.00 ;$80,000.00 ;
1000653000;LARRY SCHOETTMER FORD INC;EDINBURGH;IN;46124;JPMORGAN CHASE BANK NATL ASSOC;IN;0;11-jun-80;1980;120;16;2;0;0;0;0;Y;N;4-Oct-89;31-jul-80;$197,485.00 ;$0.00 ;CHGOFF;$44,374.00 ;$200,000.00 ;$150,000.00 ;
1000655003;Sun Service Center;Newburgh;NY;12550;WELLS FARGO BANK NATL ASSOC;SD;0;4-Oct-96;1997;84;3;1;0;0;1;0;0;N;;31-jul-97;$25,000.00 ;$0.00 ;P I F;$0.00 ;$25,000.00 ;$12,500.00 ;
1000665006;Dover Quality Foods, Inc.;Dover (census name for Dover C;MA;2030;BANK OF AMERICA NATL ASSOC;MA;0;25-mar-97;1997;12;20;1;0;0;1;0;0;N;;30-sep-97;$100,000.00 ;$0.00 ;P I F;$0.00 ;$100,000.00 ;$50,000.00 ;
1000674002;SNADER EXCAVATING AND TRUCKING;SMITHVILLE;OH;44677;FIRST NATIONAL BANK;OH;235930;28-feb-97;1997;84;1;1;0;0;1;0;N;Y;;31-mar-97;$71,000.00 ;$0.00 ;P I F;$0.00 ;$71,000.00 ;$56,800.00 ;
1000675009;RAYMIES GROCERIES INC.;Chicago;IL;60628;WELLS FARGO BANK NATL ASSOC;SD;0;25-mar-97;1997;84;4;1;0;0;1;0;0;N;;31-jul-99;$25,000.00 ;$0.00 ;P I F;$0.00 ;$25,000.00 ;$12,500.00 ;
1000685001;ANYWHERE SPORTS PRODUCTIONS;Marina del Ray;CA;90292;WELLS FARGO BANK NATL ASSOC;SD;0;25-mar-97;1997;84;6;1;0;0;1;0;Y;N;;31-Oct-97;$30,570.00 ;$0.00 ;P I F;$0.00 ;$25,000.00 ;$12,500.00 ;
1000686008;SIMCO PRE-OWNED AUTO BROKERS;WINSOR MILL;MD;21244;BBCN BANK;CA;441120;07-feb-06;2006;84;1;2;0;1;1;1;0;N;;28-feb-06;$10,000.00 ;$0.00 ;P I F;$0.00 ;$10,000.00 ;$8,500.00 ;
1000694008;SPOTSYLVANIA TOTAL HEALTH, INC;SPOTSYLVANIA;VA;22553;UNION FIRST MARKET BANK;VA;621310;28-feb-97;1997;60;7;2;0;0;1;0;N;Y;;05-mar-97;$35,000.00 ;$0.00 ;P I F;$0.00 ;$35,000.00 ;$28,000.00 ;
1000695004;Karl Duclos;Fall River;MA;2720;BANK OF AMERICA NATL ASSOC;MA;235510;25-mar-97;1997;12;1;1;0;0;1;0;0;N;;30-sep-97;$10,000.00 ;$0.00 ;P I F;$0.00 ;$10,000.00 ;$5,000.00 ;
1000704009;WANAMAKERS MGMT., INC.;AKRON;OH;44303;U.S. BANK NATIONAL ASSOCIATION;OH;722410;28-feb-97;1997;120;5;1;0;0;1;0;N;Y;;30-jun-97;$99,963.00 ;$0.00 ;P I F;$0.00 ;$99,963.00 ;$79,970.00 ;
1000705005;Alan S. Budd D.M.D., P.C.;Boston;MA;2116;BANK OF AMERICA NATL ASSOC;RI;621210;26-mar-97;1997;12;1;1;0;0;1;0;0;N;;30-sep-97;$25,000.00 ;$0.00 ;P I F;$0.00 ;$25,000.00 ;$12,500.00 ;
1000714001;HUGH GIBBONS PLUMBING AND HEAT;SWARTHMORE;PA;19081;TD BANK, NATIONAL ASSOCIATION;PA;448130;28-feb-97;1997;42;2;1;0;0;1;0;N;Y;;31-mar-97;$15,000.00 ;$0.00 ;P I F;$0.00 ;$15,000.00 ;$12,000.00 ;
1000715008;John Dailey;Castro Valley;CA;94546;WELLS FARGO BANK NATL ASSOC;SD;0;26-mar-97;1997;84;2;1;0;0;1;0;0;N;;31-May-99;$15,000.00 ;$0.00 ;P I F;$0.00 ;$15,000.00 ;$7,500.00 ;
1000724004;KR MENS CASUALS;PERRYSBURG;OH;43551;THE HUNTINGTON NATIONAL BANK;OH;0;28-feb-97;1997;96;1;2;0;0;1;0;N;Y;;31-mar-97;$60,000.00 ;$0.00 ;P I F;$0.00 ;$60,000.00 ;$48,000.00 ;
1000725000;Lined Valve Company Inc.;Beaverton;OR;97008;WELLS FARGO BANK NATL ASSOC;SD;332911;28-mar-97;1997;84;3;1;0;0;1;0;0;N;;31-aug-02;$25,000.00 ;$0.00 ;P I F;$0.00 ;$25,000.00 ;$12,500.00 ;
1000726007;NEW DIMENSION HOMES INC;CLINTON (CENSUS NAME FOR CLINT;ME;4927;WELLS FARGO BANK NATL ASSOC;SD;236115;07-feb-06;2006;167;9;1;0;9;1;1;0;N;26-jun-14;28-feb-06;$1,350,000.00 ;$0.00 ;CHGOFF;$1,043,508.00 ;$1,350,000.00 ;$1,012,500.00 ;
1000734007;CREATIVE COMMUNICATION OF KANS;SHAWNEE MISSION;KS;66204;UNION BANK;MO;512110;28-feb-97;1997;84;5;1;0;0;1;0;N;Y;;30-apr-97;$83,711.00 ;$0.00 ;P I F;$0.00 ;$86,252.00 ;$69,002.00 ;
1000735003;Mykols Marine Inc.;Spring Lake;MI;49417;WELLS FARGO BANK NATL ASSOC;SD;713930;31-mar-97;1997;7;10;1;0;0;1;0;0;N;4-Oct-05;28-feb-98;$25,000.00 ;$0.00 ;CHGOFF;$23,484.00 ;$25,000.00 ;$12,500.00 ;
1000745006;The Barber Agency Inc.;Greenville;NC;27858;WELLS FARGO BANK NATL ASSOC;SD;541810;28-mar-97;1997;84;8;1;0;0;1;0;0;N;;31-Oct-97;$10,000.00 ;$0.00 ;P I F;$0.00 ;$10,000.00 ;$5,000.00 ;
1000746002;ANGEL;LOS ANGELES;CA;60014;BBCN BANK;CA;315212;07-feb-06;2006;36;20;2;20;20;1;1;0;N;;28-feb-06;$35,000.00 ;$0.00 ;P I F;$0.00 ;$35,000.00 ;$17,500.00 ;
1000754002;MCCRANEY, INC.;SANTA ANA;CA;92703;BANK OF THE WEST;CA;0;28-feb-97;1997;300;50;1;0;0;1;0;0;N;;31-mar-97;$745,000.00 ;$0.00 ;P I F;$0.00 ;$745,000.00 ;$558,750.00 ;
1000755009;Grass Valley Market;Grass Valley;OR;0;WELLS FARGO BANK NATL ASSOC;SD;0;31-mar-97;1997;37;7;1;0;0;1;0;0;N;01-mar-02;28-feb-98;$20,000.00 ;$0.00 ;CHGOFF;$19,653.00 ;$20,000.00 ;$10,000.00 ;
1000756005;B&B DIPNETS;WASILLA;AK;99654;WELLS FARGO BANK NATL ASSOC;SD;314999;07-feb-06;2006;83;2;1;0;2;1;1;Y;N;;28-feb-06;$78,218.00 ;$0.00 ;P I F;$0.00 ;$30,000.00 ;$15,000.00 ;
1000764005;LABELLE MARIEE, INC.;KIRKLAND;WA;98033;BANK OF AMERICA NATL ASSOC;WA;448120;28-feb-97;1997;12;10;1;0;0;1;0;0;N;;31-dec-97;$30,000.00 ;$0.00 ;P I F;$0.00 ;$30,000.00 ;$15,000.00 ;
1000766008;LILY DAY GARDENS;BURNET;TX;78611;WELLS FARGO BANK NATL ASSOC;SD;444220;07-feb-06;2006;26;4;2;1;5;1;2;Y;N;27-jan-11;28-feb-06;$60,859.00 ;$0.00 ;CHGOFF;$19,994.00 ;$20,000.00 ;$10,000.00 ;
1000774008;ACADEMIE DE BALLET, INC.;CHESAPEAKE;VA;23220;TIDEWATER BUS. FINANCING CORP;VA;0;28-feb-97;1997;240;18;1;10;0;1;0;N;N;;15-apr-98;$183,000.00 ;$0.00 ;P I F;$0.00 ;$183,000.00 ;$183,000.00 ;
1000775004;Larry P. Occhipinti;Patterson;CA;95363;WELLS FARGO BANK NATL ASSOC;SD;541940;01-apr-97;1997;84;2;1;0;0;1;0;0;N;;31-Oct-97;$18,107.00 ;$0.00 ;P I F;$0.00 ;$20,000.00 ;$10,000.00 ;
1000785007;Baltazar Garza;Fresno;CA;93612;WELLS FARGO BANK NATL ASSOC;SD;811111;01-apr-97;1997;84;3;1;0;0;1;0;0;N;;31-aug-02;$10,000.00 ;$0.00 ;P I F;$0.00 ;$10,000.00 ;$5,000.00 ;
1000786003;MICHAEL GADEKEN DDS PC;GRAND JUNCTION;CO;81506;WELLS FARGO BANK NATL ASSOC;SD;621210;07-feb-06;2006;264;9;1;0;9;1;1;0;N;;31-mar-06;$1,524,200.00 ;$0.00 ;P I F;$0.00 ;$1,535,000.00 ;$1,151,250.00 ;
1000794003;STEVENSON PEST CONTROL, INC.;YUBA CITY;CA;95992;GOLDEN PACIFIC BANK NATL ASSOC;CA;0;28-feb-97;1997;60;3;1;0;0;1;0;N;N;;30-jun-97;$40,000.00 ;$0.00 ;P I F;$0.00 ;$40,000.00 ;$32,000.00 ;
1000795010;Elie Baking Corp.;Lawrence;MA;1840;BANK OF AMERICA NATL ASSOC;NC;311812;02-apr-97;1997;60;9;1;0;0;1;0;0;N;;30-sep-97;$100,000.00 ;$0.00 ;P I F;$0.00 ;$100,000.00 ;$50,000.00 ;
1000804004;STEPHANIE DEVELOPMENT, L.L.C.;CANTON;MI;48390;BANK OF AMERICA NATL ASSOC;MI;0;28-feb-97;1997;72;1;2;0;0;1;0;0;N;;30-apr-97;$384,000.00 ;$0.00 ;P I F;$0.00 ;$384,000.00 ;$288,000.00 ;
1000805000;Regalia Bridal, Inc.;Boston;MA;2108;BANK OF AMERICA NATL ASSOC;MA;0;03-apr-97;1997;24;20;1;0;0;1;0;0;N;;30-sep-97;$50,000.00 ;$0.00 ;P I F;$0.00 ;$50,000.00 ;$25,000.00 ;
1000815003;"Robert""s Realty of Victor Inc.";Victor;MT;59875;WELLS FARGO BANK NATL ASSOC;SD;0;03-apr-97;1997;84;1;1;0;0;1;2;0;N;;31-aug-97;$25,000.00 ;$0.00 ;P I F;$0.00 ;$25,000.00 ;$12,500.00 ;
1000816010;TULON PACIFIC LLC;IRVINE;CA;92618;WELLS FARGO BANK NATL ASSOC;SD;423710;07-feb-06;2006;36;18;1;1;19;1;1;Y;N;;31-mar-06;$577,000.00 ;$0.00 ;P I F;$0.00 ;$300,000.00 ;$150,000.00 ;
1000824010;AADVANTAGE INSURANCE & FINANCI;FORT WASHINGTON;PA;19034;UNITED BANK OF PHILADELPHIA;PA;524128;28-feb-97;1997;84;5;2;0;0;1;0;N;Y;;30-jun-98;$35,000.00 ;$0.00 ;P I F;$0.00 ;$35,000.00 ;$28,000.00 ;
1000825006;W L R Inc.;Sheridan;WY;82801;WELLS FARGO BANK NATL ASSOC;SD;213112;03-apr-97;1997;84;1;1;0;0;1;0;0;N;;30-nov-97;$10,000.00 ;$0.00 ;P I F;$0.00 ;$10,000.00 ;$5,000.00 ;
1000826002;GUADALAJARA DISTRIBUTORS;NORTH HILLS;CA;91343;BBCN BANK;CA;514199;07-feb-06;2006;84;1;2;0;1;1;1;0;N;;28-feb-06;$5,000.00 ;$0.00 ;P I F;$0.00 ;$5,000.00 ;$4,250.00 ;
1000834002;EXPRESSIONS HAIR, TANNING & NA;PEARL;MS;39208;TRUSTMARK NATIONAL BANK;MS;0;28-feb-97;1997;72;5;2;0;0;1;0;N;Y;;30-apr-97;$22,380.00 ;$0.00 ;P I F;$0.00 ;$23,000.00 ;$18,400.00 ;
1000835009;Birds Of A Feather, Inc.;Wilmington;MA;1887;BANK OF AMERICA NATL ASSOC;MA;0;04-apr-97;1997;12;3;1;0;0;1;0;0;N;;30-sep-97;$100,000.00 ;$0.00 ;P I F;$0.00 ;$100,000.00 ;$50,000.00 ;
1000836005;URBAN BEAST-SEATTLE LLC;SEATTLE;WA;98109;U.S. BANK NATIONAL ASSOCIATION;OH;453910;07-feb-06;2006;5;1;2;3;4;1;1;0;N;24-May-10;31-aug-06;$28,090.00 ;$0.00 ;CHGOFF;$28,090.00 ;$28,300.00 ;$24,055.00 ;
1000844005;WOODLAND PUBLISHING, INC;PLEASANT GROVE;UT;84062;MOUNTAIN W. SMALL BUS. FINAN;UT;323117;28-feb-97;1997;240;20;1;8;8;1;0;N;N;;11-jun-97;$208,000.00 ;$0.00 ;P I F;$0.00 ;$208,000.00 ;$208,000.00 ;
1000845001;The Software Workbench, Inc.;Manchester;NH;3101;BANK OF AMERICA NATL ASSOC;RI;0;04-apr-97;1997;60;4;1;0;0;1;0;0;N;;31-May-97;$44,650.00 ;$0.00 ;P I F;$0.00 ;$44,650.00 ;$22,325.00 ;
1000865007;Squeegee Graphics, Inc.;Leicester (census name Leicest;MA;1611;BANK OF AMERICA NATL ASSOC;MA;0;07-apr-97;1997;12;4;1;0;0;1;0;0;N;;31-May-97;$25,000.00 ;$0.00 ;P I F;$0.00 ;$25,000.00 ;$12,500.00 ;
1000885002;Steve Trujillo;Pueblo;CO;81005;WELLS FARGO BANK NATL ASSOC;SD;0;07-apr-97;1997;84;3;1;0;0;1;0;0;N;;31-Oct-00;$7,015.00 ;$0.00 ;P I F;$0.00 ;$15,000.00 ;$7,500.00 ;
1000895005;C D Welch Jr.;Orangeburg;SC;29118;WELLS FARGO BANK NATL ASSOC;SD;0;07-apr-97;1997;84;3;1;0;0;1;0;0;N;;30-nov-97;$14,027.00 ;$0.00 ;P I F;$0.00 ;$25,000.00 ;$12,500.00 ;
1000896001;SHAFI SECURITY;THORNTON;CO;80602;JPMORGAN CHASE BANK NATL ASSOC;IL;561612;07-feb-06;2006;54;4;1;8;4;1;2;Y;N;26-sep-08;28-feb-06;$76,432.00 ;$0.00 ;CHGOFF;$28,979.00 ;$30,000.00 ;$15,000.00 ;
1000904010;FOODETTE, THE;VINTON;VA;24179;BUSINESS FINANCE GROUP, INC.;VA;0;28-feb-97;1997;240;17;1;10;0;1;0;N;N;;13-May-98;$357,000.00 ;$0.00 ;P I F;$0.00 ;$357,000.00 ;$357,000.00 ;
1000905006;Houssam Joudi;Redondo Beach;CA;90278;WELLS FARGO BANK NATL ASSOC;SD;0;07-apr-97;1997;84;1;1;0;0;1;0;0;N;;31-mar-00;$25,000.00 ;$0.00 ;P I F;$0.00 ;$25,000.00 ;$12,500.00 ;
1000915009;Christian Hinderer;Waterville;WA;98858;WELLS FARGO BANK NATL ASSOC;SD;422720;08-apr-97;1997;84;7;1;0;0;1;0;0;N;;30-nov-97;$4,987.00 ;$0.00 ;P I F;$0.00 ;$10,000.00 ;$5,000.00 ;
1000925001;Vincent Pilotta;Pittsburgh;PA;15214;WELLS FARGO BANK NATL ASSOC;SD;422810;08-apr-97;1997;84;2;1;0;0;1;0;0;N;;31-May-00;$20,000.00 ;$0.00 ;P I F;$0.00 ;$20,000.00 ;$10,000.00 ;
1000926008;TOUCHPOINTS MARKETING LLC;BELLE CHASSE;LA;70037;GULF COAST BK & TR CO;LA;541810;07-feb-06;2006;120;16;2;16;1;1;0;0;N;;28-feb-06;$150,000.00 ;$0.00 ;P I F;$0.00 ;$150,000.00 ;$127,500.00 ;
1000935004;Hairline Inc.;Vancouver;WA;98663;WELLS FARGO BANK NATL ASSOC;SD;0;08-apr-97;1997;84;3;1;0;0;1;0;0;N;;28-feb-99;$10,000.00 ;$0.00 ;P I F;$0.00 ;$10,000.00 ;$5,000.00 ;
